internal_taxon_name;taxonKey
Agrotis ruta;1771234
Agrotis simplonia;165446965
Agrotis vestigialis;1770880
Alcis deversata;5143453
Alcis jubata;5143477
Alsophila aescularia;5143947
Ammoconia caecimacula;5772269
Amphipoea fucosa;7725644
Amphipoea lucens;1771429
Amphipoea oculea;1771385
Amphipyra berbera;1766128
Amphipyra livida;1766130
Amphipyra perflua;1766131
Amphipyra tetra;1766144
Anaplectoides prasina;1766646
Coranarta cordigera;4534038
Anarta myrtilli;1789580
Anorthoa munda;6544687
Antheraea yamamai;1866568
Earophila badiata;1957012
Anticlea derivata;1975793
Antitype chi;1786902
Apamea anceps;1796113
Apamea aquila;1795957
Apamea crenata;1796169
Apamea exulis;1795848
Apamea lithoxylaea;4534486
Apamea oblonga;1796183
Lateroligia ophiogramma;4534533
Apamea rubrirena;1796007
Apamea scolopacina;1795874
Apamea syriaca;1795900
Apamea unanimis;1796188
Apantesis quenseli;4301334
Apeira syringaria;1962860
Apocheima hispidaria;1961068
Phigalia pilosaria;4524740
Aporophyla lueneburgensis;1760887
Aporophyla lutulenta;1760893
Archanara dissoluta;1789849
Lenisa geminipuncta;4534458
Archanara neurica;1789840
Globia sparganii;8890502
Boudinotiana notha;4522970
Archiearis parthenias;1975733
Boudinotiana puella;4522974
Arctia aulica;10277786
Arctia caja;5115874
Arctia flavia;5115872
Arctia matronula;10371150
Arenostola phragmitidis;7780930
Arichanna melanaria;1979781
Artiora evonymaria;1967452
Asphalia ruficollis;4527363
Asteroscopus sphinx;1766274
Asthena anseraria;1987737
Atethmia ambusta;1759159
Athetis furvula;1787381
Athetis gluteosa;1787213
Athetis lepigone;1787267
Athetis pallustris;1787112
Auchmis detersa;1761865
Autographa aemula;1792410
Autographa bractea;1792414
Autographa buraetica;1792449
Autographa jota;1792426
Autographa pulchrina;1792411
Autophila hirsuta;1777309
Baptria tibiale;1963157
Bembecia scopigera;1940835
Bembecia uroceriformis;4525846
Biston strataria;1975903
Mniotype satura;4533360
Brachionycha nubeculosa;1779435
Brachodes appendiculata;4525682
Bryophila domestica;7981386
Bryophila felina;9035710
Bryophila ravula;7712384
Cabera leptographa;5143677
Calliergis ramosa;1764673
Calliteara abietis;4532293
Caradrina montana;1765044
Caradrina morpheus;1765011
Carsia sororiata;1978977
Catarhoe cuculata;1964195
Catocala dilecta;8016905
Catocala electa;8756768
Catocala fulminea;4532471
Catocala hymenaea;1797429
Catocala promissa;1797178
Catocala sponsa;1797367
Celaena haworthii;4534463
Cepphis advenaria;1967245
Cerastis leucographa;5110871
Cerura erminea;1825176
Chamaesphecia amygdaloidis;4525729
Chamaesphecia astatiformis;1941432
Chamaesphecia bibioniformis;1941348
Chamaesphecia crassicornis;165786878
Chamaesphecia dumonti;165786882
Chamaesphecia euceraeformis;1941320
Chamaesphecia hungarica;1941387
Chamaesphecia leucopsiformis;1941462
